,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
2964.31,54.14092,2964.31,129.02758,2964.31,20.41185,2964.31,77.03955,2964.31,90.93459,2964.31,8.91416
2963.06,52.92483,2963.06,135.87205,2963.06,21.65504,2963.06,73.45409,2963.06,92.60932,2963.06,3.93371
2961.81,46.49285,2961.81,142.91579,2961.81,17.40603,2961.81,69.86618,2961.81,89.76189,2961.81,4.8576
2960.56,53.03293,2960.56,150.41808,2960.56,17.11935,2960.56,68.35074,2960.56,85.22682,2960.56,-1.62162
2959.31,49.46687,2959.31,147.35557,2959.31,17.75253,2959.31,63.8988,2959.31,71.92944,2959.31,-1.60592
2958.06,52.37891,2958.06,152.37549,2958.06,30.06404,2958.06,66.50238,2958.06,77.63477,2958.06,-2.95544
2956.8,63.65055,2956.8,154.9801,2956.8,33.31086,2956.8,71.70002,2956.8,83.20591,2956.8,5.31531
2955.55,67.81532,2955.55,148.87101,2955.55,35.63777,2955.55,72.10494,2955.55,96.37752,2955.55,4.97715
2954.3,75.65631,2954.3,144.39305,2954.3,51.76213,2954.3,75.7533,2954.3,105.63355,2954.3,9.74401
2953.05,85.40903,2953.05,148.70909,2953.05,56.11015,2953.05,80.35365,2953.05,104.50462,2953.05,11.48293
2951.8,100.29081,2951.8,155.90996,2951.8,62.22693,2951.8,86.8307,2951.8,105.629,2951.8,12.03327
2950.54,108.85092,2950.54,163.9927,2950.54,51.50188,2950.54,93.02539,2950.54,112.78737,2950.54,18.03186
2949.29,115.49299,2949.29,173.34642,2949.29,38.96876,2949.29,95.16146,2949.29,107.74389,2949.29,14.09595
2948.04,116.65655,2948.04,181.03534,2948.04,36.47599,2948.04,98.27689,2948.04,103.79902,2948.04,9.69112
2946.78,122.26016,2946.78,193.36721,2946.78,44.81294,2946.78,103.46326,2946.78,102.76647,2946.78,4.08246
2945.53,111.3397,2945.53,192.55768,2945.53,53.54683,2945.53,99.6555,2945.53,100.99549,2945.53,3.32028
2944.28,113.0611,2944.28,197.96901,2944.28,53.48543,2944.28,90.89044,2944.28,104.29691,2944.28,-2.42432
2943.02,113.51381,2943.02,203.35941,2943.02,57.98199,2943.02,86.81852,2943.02,106.69599,2943.02,-1.37236
2941.77,115.54943,2941.77,206.71404,2941.77,59.49255,2941.77,93.32778,2941.77,113.57991,2941.77,-0.38413
2940.52,110.17167,2940.52,218.39905,2940.52,64.9982,2940.52,97.81354,2940.52,116.78345,2940.52,-1.8096
2939.26,109.0171,2939.26,234.30782,2939.26,67.27392,2939.26,98.40578,2939.26,116.95112,2939.26,11.48087
2938.01,97.97719,2938.01,239.82013,2938.01,80.12686,2938.01,95.15059,2938.01,114.25888,2938.01,2.50991
2936.75,90.65109,2936.75,240.54185,2936.75,77.67101,2936.75,83.57349,2936.75,111.40459,2936.75,11.19892
2935.5,91.13104,2935.5,245.67788,2935.5,74.99139,2935.5,86.58603,2935.5,115.02176,2935.5,15.87441
2934.24,85.06728,2934.24,246.00349,2934.24,81.05054,2934.24,87.25938,2934.24,124.44875,2934.24,22.58517
2932.99,87.64283,2932.99,239.91992,2932.99,89.23661,2932.99,88.63794,2932.99,132.59553,2932.99,27.10105
2931.73,84.88054,2931.73,239.7472,2931.73,85.43856,2931.73,90.04308,2931.73,135.25036,2931.73,35.87087
2930.47,83.30409,2930.47,228.98794,2930.47,82.79471,2930.47,81.9356,2930.47,145.90717,2930.47,40.27844
2929.22,89.90921,2929.22,230.63164,2929.22,89.56722,2929.22,71.22371,2929.22,148.38099,2929.22,47.84232
2927.96,92.59236,2927.96,233.07362,2927.96,78.95496,2927.96,70.97646,2927.96,147.72939,2927.96,53.96045
2926.71,95.13594,2926.71,226.72033,2926.71,77.08484,2926.71,73.11422,2926.71,151.04263,2926.71,58.82776
